School,City,Region,Applied,Admitted,Enrolled
CORONA HIGH SCHOOL,Corona,Riverside,127,60,36
CORONADO ADULT HIGH SCHOOL,Coronado,San Diego,,,
CORONADO HIGH SCHOOL,Coronado,San Diego,109,63,27
COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,50,29,14
COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,129,90,52
COVINA HIGH SCHOOL,Covina,Los Angeles,63,31,19
CRAWFORD HIGH SCHOOL,San Diego,San Diego,48,30,12
CREATIVE CONNECTIONS ARTS ACAD,North Highlands,Sacramento,,,
CREDO HIGH SCHOOL,Rohnert Park,Sonoma,9,5,5
CRENSHAW HIGH SCHOOL,Los Angeles,Los Angeles,34,15,10
CRESCENT VALLEY PUBLIC CHAR II,Visalia,Tulare,,,
CRESCENT VIEW WEST CHARTER SCH,Fresno,Fresno,,,
CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,263,173,89
CRITICAL DESIGN AND GAMING SCH,Los Angeles,Los Angeles,43,8,3
CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,176,105,55
CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,397,300,149
CYPRESS HIGH SCHOOL,Cypress,Orange,235,140,86
CYPRESS HIGH SCHOOL,Santa Cruz,Santa Cruz,,,
DA VINCI CHARTER ACADEMY,Davis,Yolo,24,16,9
DA VINCI COMMUNICATIONS HS,El Segundo,Los Angeles,26,7,
DA VINCI DESIGN HIGH SCHOOL,El Segundo,Los Angeles,21,10,4
DA VINCI SCIENCE HIGH SCHOOL,El Segundo,Los Angeles,34,25,14
DANA HILLS HIGH SCHOOL,Dana Point,Orange,175,103,50
DANIEL PEARL MAGNET HIGH SCHL,Van Nuys,Los Angeles,31,16,9
DAV STARR JORDAN HIGH SCHOOL,Long Beach,Los Angeles,104,49,19
DAVID STARR JORDAN HS,Los Angeles,Los Angeles,22,7,3
DAVIS SCHOOL INDEPENDENT STUDY,Davis,Yolo,,,
DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,294,206,111
DE ANZA HIGH SCHOOL,Richmond,Contra Costa,83,59,35
DEER VALLEY HIGH SCHOOL,Antioch,Contra Costa,58,41,27
DEL CAMPO HIGH SCHOOL,Fair Oaks,Sacramento,33,19,13
DEL LAGO ACADEMY,Escondido,San Diego,78,38,29
